,index,player,x,y,endx,endy,team,outcome,minute,beginning,end,progressive
0,0,Memphis Depay,50.3,50.1,44.2,47.6,65,Successful,0,70.4279773953505,76.18004988184242,False
1,1,Sergio Busquets,45.6,45.5,42.0,29.8,65,Successful,0,74.60301602482302,78.66409600319577,False
2,2,Frenkie de Jong,42.0,29.8,30.5,67.0,65,Successful,0,78.66409600319577,93.48395584270062,False
3,3,Gerard Piqué,31.3,72.0,33.4,89.1,65,Successful,0,94.29575812304603,99.55084128223126,False
4,4,Jordi Alba,33.2,88.9,9.1,61.5,65,Successful,0,99.62655268551653,112.96486179339132,False
5,5,Neto,13.8,52.7,57.5,63.7,65,Successful,0,106.95667347108362,66.8426510545475,True
6,6,Martin Braithwaite,57.5,63.7,58.3,38.6,65,Successful,0,66.8426510545475,61.715881262443304,False
7,7,Memphis Depay,58.3,37.9,86.1,30.1,65,Successful,0,61.73572709541858,35.31600203873593,True
8,10,Sergiño Dest,49.5,0.0,35.8,18.0,65,Successful,1,81.0570786544889,87.0266625810734,False
9,11,Eric García,35.6,19.4,31.4,52.2,65,Successful,1,86.87761506855492,89.43601064448256,False
10,12,Gerard Piqué,27.3,64.5,33.3,93.9,65,Successful,1,95.88294947486753,102.0886869344493,False
11,13,Jordi Alba,33.9,93.5,53.4,71.5,65,Successful,1,101.36794365084062,73.67367236672813,True
12,14,Memphis Depay,52.9,71.8,54.0,38.2,65,Successful,1,74.25395612356286,66.0245408920047,False
13,15,Frenkie de Jong,58.5,34.0,69.2,22.8,65,Successful,1,61.79198977213794,53.63282576929916,False
14,20,Gerard Piqué,20.7,1.3,1.4,24.6,65,Successful,1,106.57476249093872,119.59565209488177,False
15,21,Neto,1.4,23.9,12.5,36.3,65,Successful,1,119.68780221893958,107.56365557194493,False
16,22,Sergio Busquets,12.5,36.3,9.4,25.9,65,Successful,1,107.56365557194493,111.49515684548813,False
17,23,Eric García,9.4,25.9,10.5,4.6,65,Successful,1,111.49515684548813,115.08001564129195,False
18,24,Gerard Piqué,10.5,4.6,8.5,24.9,65,Successful,2,115.08001564129195,112.5178208107498,False
19,25,Eric García,8.7,25.3,2.4,49.7,65,Successful,2,112.26655779883873,117.99936440506787,False
20,26,Neto,4.1,53.6,28.4,100.0,65,Unsuccessful,2,116.69520127237452,109.50141551596491,False
21,32,Neto,4.6,54.3,6.2,34.0,65,Successful,2,116.28262982922257,113.95806246159154,False
22,33,Eric García,6.2,34.0,5.4,63.6,65,Successful,2,113.95806246159154,117.00478622688902,False
23,34,Gerard Piqué,18.8,63.6,32.6,53.6,65,Successful,2,103.91535016541108,88.45179478111228,False
24,35,Sergio Busquets,46.0,53.0,52.4,40.6,65,Successful,3,75.13321502504735,67.60266266945408,False
25,36,Frenkie de Jong,47.9,37.3,44.7,49.7,65,Successful,3,72.15053707353812,75.92219701773651,False
26,37,Sergio Busquets,44.1,53.7,41.0,81.1,65,Successful,3,77.1265194339794,89.05172654137594,False
27,38,Gerard Piqué,41.0,81.1,53.5,94.4,65,Successful,3,89.05172654137594,85.91629647511583,False
28,39,Jordi Alba,53.5,96.2,54.6,95.9,65,Unsuccessful,3,87.06715798738351,86.03470230087393,False
29,40,Jordi Alba,59.0,100.0,64.1,95.6,65,Successful,3,85.56284240252891,78.84269148120198,False
30,41,Memphis Depay,64.1,95.6,58.9,91.8,65,Successful,3,78.84269148120198,80.1027465197043,False
31,42,Jordi Alba,58.7,91.4,64.4,89.3,65,Successful,3,79.99781247009196,74.30915152254127,False
32,43,Martin Braithwaite,56.9,86.2,58.1,70.5,65,Successful,3,78.20517885664606,69.00623160266035,False
33,44,Frenkie de Jong,58.3,70.8,60.0,29.2,65,Successful,3,68.96035092718134,60.96425182022658,False
34,45,Sergiño Dest,60.2,29.2,66.1,23.6,65,Successful,3,60.76742548438266,56.339772807493645,False
35,46,Antoine Griezmann,57.2,38.3,51.6,36.0,65,Successful,4,62.82300534040058,68.51685923916828,False
36,47,Eric García,51.6,36.0,47.4,60.0,65,Successful,4,68.51685923916828,75.30444873976569,False
37,48,Gerard Piqué,46.7,56.9,76.8,4.9,65,Successful,4,75.22300180131074,55.66192594583842,True
38,49,Sergiño Dest,76.8,4.9,75.7,7.7,65,Unsuccessful,4,55.66192594583842,54.824994300045304,False
